3                   2                   
PerThrow            PerFinish           Odds                Diff                
10                  100                 0.5                 3                   
Expected            Avg.Throw           
0                   11.54               8.846               
1                   11.4715             8.86285             
2                   7.69147             9.24086             
3                   12.6877             8.74124             
4                   14.3927             8.57074             
5                   10.0744             9.00257             
6                   13.1701             8.693               
7                   6.39317             9.37069             
8                   9.64639             9.04537             
9                   7.36965             9.27304             
10                  13.0074             8.70927             
11                  9.29301             9.08071             
12                  10.3093             8.97908             
13                  14.0903             8.60098             
14                  7.95409             9.2146              
15                  12.408              8.76921             
16                  7.11241             9.29877             
17                  8.60711             9.1493              
18                  10.0086             9.00915             
19                  8.21001             9.18901             
20                  13.6082             8.64919             
21                  11.3336             8.87665             
22                  11.1313             8.89688             
23                  8.07113             9.2029              
24                  7.92807             9.2172              
25                  8.46793             9.16322             
26                  7.84847             9.22516             
27                  8.60785             9.14922             
28                  3.32861             9.67715             
29                  6.06333             9.40368             
30                  13.8261             8.6274              
31                  10.1538             8.99463             
32                  10.2902             8.98099             
33                  12.0503             8.80498             
34                  11.4321             8.86681             
35                  12.4314             8.76687             
36                  8.61243             9.14877             
37                  9.82861             9.02715             
38                  11.9698             8.81303             
39                  13.392              8.67081             
40                  12.1334             8.79667             
41                  8.67213             9.1428              
42                  11.5887             8.85114             
43                  10.8316             8.92685             
44                  12.0708             8.80293             
45                  10.2121             8.9888              
46                  6.99021             9.31099             
47                  8.96699             9.11331             
48                  16.769              8.33311             
49                  10.6768             8.94233             
50                  8.87068             9.12294             
51                  13.5489             8.65512             
52                  8.63355             9.14666             
53                  7.88863             9.22115             
54                  10.7879             8.93122             
55                  12.5908             8.75093             
56                  13.1126             8.69875             
57                  8.43311             9.1667              
58                  7.46843             9.26317             
59                  11.2675             8.88326             
60                  8.19127             9.19088             
61                  6.16819             9.39319             
62                  11.1462             8.89539             
63                  10.0111             9.0089              
64                  9.57001             9.05301             
65                  8.36957             9.17305             
66                  10.7484             8.93517             
67                  9.41075             9.06894             
68                  4.80941             9.52907             
69                  12.3848             8.77153             
70                  7.51238             9.25877             
71                  8.46751             9.16326             
72                  7.76847             9.23316             
73                  13.2078             8.68923             
74                  6.73321             9.33669             
75                  7.10673             9.29934             
76                  14.4271             8.5673              
77                  7.19443             9.29057             
78                  8.82719             9.12729             
79                  11.0688             8.90313             
80                  14.6311             8.5469              
81                  9.51463             9.05855             
82                  10.3495             8.97506             
83                  13.4903             8.66097             
84                  8.51349             9.15866             
85                  8.14851             9.19516             
86                  8.30815             9.1792              
87                  8.16831             9.19318             
88                  13.7482             8.63519             
89                  6.55375             9.35464             
90                  12.9466             8.71535             
91                  14.4729             8.56271             
92                  6.79447             9.33056             
93                  9.54679             9.05533             
94                  8.08955             9.20105             
95                  10.5281             8.9572              
96                  11.6305             8.84696             
97                  10.9716             8.91285             
98                  8.83097             9.12691             
99                  9.88883             9.02113             
