3                   2                   
PerThrow            PerFinish           Odds                Diff                
10                  100                 0.5                 3                   
Expected            Avg.Throw           
0                   9.896               9.0104              
1                   9.04099             9.0969              
2                   10.1389             8.98711             
3                   10.759              8.9251              
4                   10.4751             8.95349             
5                   10.219              8.9791              
6                   8.75502             9.1255              
7                   10.9789             8.90311             
8                   10.1791             8.98309             
9                   10.999              8.9011              
10                  10.5451             8.94649             
11                  9.75505             9.02549             
12                  9.56497             9.0445              
13                  9.37096             9.0639              
14                  9.21294             9.07971             
15                  8.78892             9.12211             
16                  9.83488             9.01751             
17                  9.01898             9.0991              
18                  9.7409              9.02691             
19                  9.46097             9.0549              
20                  10.6469             8.93631             
21                  10.8171             8.91929             
22                  10.3051             8.97049             
23                  11.281              8.8729              
24                  9.87313             9.01369             
25                  9.61499             9.0395              
26                  10.039              8.9971              
27                  9.861               9.0149              
28                  9.56499             9.0445              
29                  11.631              8.8379              
30                  8.93316             9.10768             
31                  10.6329             8.93771             
32                  9.84306             9.01669             
33                  10.623              8.9387              
34                  10.4411             8.95689             
35                  10.927              8.9083              
36                  11.3731             8.86369             
37                  10.5191             8.94909             
38                  9.91905             9.0091              
39                  10.383              8.9627              
40                  10.893              8.9117              
41                  10.2951             8.97149             
42                  7.93503             9.2075              
43                  10.7108             8.92992             
44                  9.59107             9.04189             
45                  9.68296             9.0327              
46                  10.907              8.9103              
47                  9.39909             9.06109             
48                  9.08094             9.09291             
49                  10.1769             8.98331             
50                  11.375              8.8635              
51                  10.9671             8.90429             
52                  9.8791              9.01309             
53                  10.981              8.9029              
54                  11.4531             8.85569             
55                  8.40314             9.16069             
56                  10.5628             8.94472             
57                  11.1571             8.88529             
58                  9.79112             9.02189             
59                  9.93698             9.0073              
60                  9.52099             9.0489              
61                  10.749              8.9261              
62                  9.57508             9.04349             
63                  10.877              8.9133              
64                  9.00509             9.10049             
65                  10.5209             8.94891             
66                  10.5971             8.9413              
67                  9.61506             9.03949             
68                  10.337              8.9673              
69                  9.52303             9.0487              
70                  10.455              8.9555              
71                  10.435              8.9575              
72                  10.259              8.9751              
73                  9.56903             9.0441              
74                  10.471              8.95391             
75                  10.071              8.9939              
76                  9.85501             9.0155              
77                  10.095              8.9915              
78                  10.477              8.9533              
79                  9.13505             9.08749             
80                  9.36291             9.06471             
81                  10.4429             8.95671             
82                  10.469              8.95409             
83                  9.42105             9.0589              
84                  10.5509             8.94591             
85                  10.0171             8.99929             
86                  9.011               9.0999              
87                  11.7909             8.82191             
88                  10.7652             8.92448             
89                  9.41108             9.05989             
90                  10.5689             8.94411             
91                  10.5211             8.94889             
92                  10.1191             8.9891              
93                  9.97901             9.0031              
94                  9.859               9.0151              
95                  10.333              8.9677              
96                  10.217              8.9793              
97                  9.61702             9.0393              
98                  9.35696             9.0653              
99                  8.62494             9.13851             
