3                   2                   
PerThrow            PerFinish           Odds                Diff                
10                  100                 0.5                 3                   
Expected            Avg.Throw           
0                   11                  8.9                 
1                   12.11               8.889               
2                   3.3211              9.76889             
3                   11.6332             8.93769             
4                   -1.88367            10.2894             
5                   10.1812             9.08289             
6                   -1.09819            10.2108             
7                   14.589              8.64211             
8                   11.3459             8.96642             
9                   23.5135             7.74966             
10                  0.635134            10.0375             
11                  15.6064             8.54037             
12                  2.35606             9.8654              
13                  -9.17644            11.0187             
14                  7.10823             9.39019             
15                  -0.328917           10.1339             
16                  1.19671             9.98134             
17                  1.41197             9.95981             
18                  8.21412             9.2796              
19                  11.8821             8.9128              
20                  17.3188             8.36913             
21                  1.97319             9.90369             
22                  13.2197             8.77904             
23                  4.7322              9.62779             
24                  14.2473             8.67628             
25                  10.5425             9.04676             
26                  9.30542             9.17047             
27                  9.29305             9.1717              
28                  12.4929             8.85172             
29                  10.3249             9.06852             
30                  7.10325             9.39069             
31                  16.471              8.45391             
32                  10.7647             9.02454             
33                  15.3076             8.57025             
34                  24.5531             7.6457              
35                  6.64553             9.43646             
36                  13.4665             8.75436             
37                  4.33466             9.66754             
38                  21.4433             7.95668             
39                  25.4144             7.55957             
40                  9.45414             9.1556              
41                  18.6945             8.23156             
42                  21.1869             7.98232             
43                  8.21187             9.27982             
44                  4.48212             9.6528              
45                  14.6448             8.63653             
46                  13.1464             8.78637             
47                  6.13146             9.48786             
48                  17.0613             8.39488             
49                  0.570613            10.0439             
50                  4.20571             9.68044             
51                  -8.35794            10.9368             
52                  4.51642             9.64937             
53                  5.04516             9.59649             
54                  3.85045             9.71597             
55                  3.2385              9.77716             
56                  7.83239             9.31777             
57                  10.0783             9.09318             
58                  5.10078             9.59093             
59                  13.051              8.79591             
60                  14.5305             8.64796             
61                  11.7453             8.92648             
62                  9.71745             9.12926             
63                  4.89717             9.61129             
64                  13.049              8.79611             
65                  6.13049             9.48796             
66                  14.6613             8.63488             
67                  21.1466             7.98635             
68                  13.2115             8.77986             
69                  6.73211             9.4278              
70                  19.8673             8.11428             
71                  10.9987             9.00114             
72                  8.50999             9.25001             
73                  19.8851             8.1125              
74                  -0.601149           10.1611             
75                  8.59399             9.24161             
76                  14.2859             8.67242             
77                  5.34286             9.56672             
78                  14.6534             8.63567             
79                  13.9465             8.70636             
80                  15.1395             8.58706             
81                  17.1514             8.38587             
82                  14.9715             8.60386             
83                  13.9497             8.70604             
84                  3.9395              9.70706             
85                  6.43939             9.45707             
86                  11.6644             8.93457             
87                  14.7166             8.62935             
88                  16.9472             8.40629             
89                  25.3695             7.56406             
90                  11.8537             8.91564             
91                  3.51854             9.74916             
92                  7.23519             9.37749             
93                  10.2724             9.07378             
94                  4.90272             9.61074             
95                  -5.55097            10.6561             
96                  7.94449             9.30656             
97                  10.2794             9.07307             
98                  11.9028             8.91073             
99                  8.91903             9.20911             
