3                   2                   
PerThrow            PerFinish           Odds                Diff                
10                  100                 0.5                 3                   
Expected            Avg.Throw           
0                   13.8                8.62                
1                   4.6676              9.55324             
2                   10.6493             8.95511             
3                   7.3413              9.28591             
4                   12.9347             8.72657             
5                   19.1859             8.10145             
6                   7.07837             9.3122              
7                   8.17416             9.20263             
8                   8.45635             9.17441             
9                   13.1769             8.70235             
10                  9.90635             9.0294              
11                  15.2598             8.49406             
12                  11.3505             8.88499             
13                  8.3427              9.18577             
14                  10.0967             9.01037             
15                  4.46019             9.57402             
16                  4.92892             9.52715             
17                  8.84986             9.13505             
18                  12.9377             8.72627             
19                  10.3059             8.98945             
20                  6.54061             9.36598             
21                  9.33308             9.08673             
22                  9.69867             9.05017             
23                  10.1394             9.0061              
24                  12.0203             8.81801             
25                  7.58404             9.26164             
26                  11.8552             8.83452             
27                  6.58371             9.36167             
28                  7.37317             9.28272             
29                  12.8147             8.73857             
30                  10.9856             8.92148             
31                  9.38197             9.08184             
32                  5.53876             9.46616             
33                  8.37108             9.18293             
34                  11.3767             8.88237             
35                  15.0228             8.51777             
36                  8.55005             9.16504             
37                  11.6971             8.85033             
38                  8.14339             9.2057              
39                  7.85629             9.23441             
40                  8.93571             9.12647             
41                  12.5779             8.76225             
42                  9.38516             9.08152             
43                  13.0988             8.71016             
44                  10.8662             8.93342             
45                  6.50173             9.36987             
46                  7.693               9.25074             
47                  4.01539             9.6185              
48                  7.52803             9.26724             
49                  5.81506             9.43853             
50                  6.81163             9.33888             
51                  9.61362             9.05868             
52                  11.5392             8.86612             
53                  11.0631             8.91373             
54                  11.5021             8.86983             
55                  9.063               9.11374             
56                  11.0181             8.91823             
57                  13.422              8.67784             
58                  8.74684             9.14536             
59                  11.4975             8.87029             
60                  9.943               9.02574             
61                  10.1399             9.00605             
62                  14.0603             8.61401             
63                  5.94812             9.42523             
64                  12.3319             8.78685             
65                  8.62466             9.15757             
66                  9.81725             9.03832             
67                  10.2596             8.99408             
68                  6.14052             9.40599             
69                  7.45228             9.27481             
70                  5.7749              9.44255             
71                  7.41155             9.27888             
72                  7.97482             9.22256             
73                  10.5759             8.96245             
74                  8.02115             9.21793             
75                  11.616              8.85844             
76                  12.7432             8.74572             
77                  9.98549             9.02149             
78                  8.29997             9.19004             
79                  2.5366              9.76638             
80                  10.8051             8.93953             
81                  4.54161             9.56588             
82                  16.5291             8.36713             
83                  8.71306             9.14873             
84                  9.61743             9.0583              
85                  10.8992             8.93012             
86                  11.6618             8.85386             
87                  8.82332             9.13771             
88                  8.85765             9.13428             
89                  13.1777             8.70227             
90                  9.18636             9.1014              
91                  11.4584             8.8742              
92                  12.9829             8.72175             
93                  6.86597             9.33344             
94                  10.7337             8.94667             
95                  8.82147             9.13789             
96                  13.0976             8.71028             
97                  8.7862              9.14142             
98                  12.2176             8.79828             
99                  9.26444             9.0936              
